Province,District,Station No,Latitude,Longitude,Current Temperature,Record Temperature,Difference,Record Date
AYDIN,EFELER,17234,37.84024,27.837905,76.9,32.4,44.5,27.03.2001
ADANA,YÜREĞIR,17351,37.0041,35.3443,32.1,32.0,0.1,24.03.2008
KILIS,MERKEZ,17262,36.708436,37.112022,29.7,28.8,0.9,24.03.2008
