Province,District,Station No,Latitude,Longitude,Current Temperature,Record Temperature,Difference,Record Date
ADANA,YÜREĞIR,17351,37.0041,35.3443,33.3,32.0,1.3,24.03.2008
OSMANIYE,MERKEZ,17355,37.102111,36.253939,32.3,32.0,0.3,24.03.2008
SAKARYA,ADAPAZARI,17069,40.767573,30.393406,31.9,31.9,0.0,26.03.2001
İZMIR,KONAK,17220,38.3945,27.0821,31.1,30.5,0.6,27.03.2001
HATAY,ANTAKYA,17372,36.236837,36.132912,30.8,30.5,0.3,29.03.1986
BALIKESIR,ALTIEYLÜL,18433,39.655053,27.92073,30.6,29.6,1.0,27.03.2001
KILIS,MERKEZ,17262,36.708436,37.112022,30.1,28.8,1.3,24.03.2008
KASTAMONU,MERKEZ,17074,41.370966,33.77561,28,27.8,0.2,26.03.1947
BURDUR,MERKEZ,17238,37.721988,30.293968,27.8,27.8,0.0,27.03.2001
