Province,District,Station No,Latitude,Longitude,Current Temperature,Record Temperature,Difference,Record Date
NIĞDE,MERKEZ,17250,37.9585,34.6795,-9.5,-6.9,-2.6,10.04.1997
AKSARAY,MERKEZ,17192,38.3705,33.9987,-8.3,-7.5,-0.8,10.04.1997
MUĞLA,MENTEŞE,17292,37.209486,28.366834,2.1,3.1,-1.0,05.04.2005
